№      A      B      Выигрыш A (x1,x2,x3)      Проигрыш B (y1,y2,y3)     v_up     v_low   
287    x1     y3     2874, 2508, 2741          2839, 2758, 2715          10.0139  9.4599  
288    x1     y3     2887, 2519, 2741          2848, 2768, 2728          10.0243  9.4722  
289    x1     y3     2900, 2530, 2741          2857, 2778, 2741          10.0346  9.4844  
290    x1     y3     2913, 2541, 2741          2866, 2788, 2754          10.0448  9.4966  
291    x1     y3     2926, 2552, 2741          2875, 2798, 2767          10.0550  9.5086  
292    x1     y3     2939, 2563, 2741          2884, 2808, 2780          10.0651  9.5205  
293    x1     y3     2952, 2574, 2741          2893, 2818, 2793          10.0751  9.5324  
294    x1     y3     2965, 2585, 2741          2902, 2828, 2806          10.0850  9.5442  
295    x1     y3     2978, 2596, 2741          2911, 2838, 2819          10.0949  9.5559  
296    x1     y3     2991, 2607, 2741          2920, 2848, 2832          10.1047  9.5676  
297    x1     y3     3004, 2618, 2741          2929, 2858, 2845          10.1145  9.5791  
298    x1     y3     3017, 2629, 2741          2938, 2868, 2858          10.1242  9.5906  
299    x1     y3     3030, 2640, 2741          2947, 2878, 2871          10.1338  9.6020  
300    x1     y3     3043, 2651, 2741          2956, 2888, 2884          10.1433  9.6133  
301    x1     y3     3056, 2662, 2741          2965, 2898, 2897          10.1528  9.6246  
302    x1     y3     3069, 2673, 2741          2974, 2908, 2910          10.1623  9.6291  
303    x1     y2     3079, 2691, 2745          2983, 2918, 2923          10.1617  9.6304  
304    x1     y2     3089, 2709, 2749          2992, 2928, 2936          10.1612  9.6316  
305    x1     y2     3099, 2727, 2753          3001, 2938, 2949          10.1607  9.6328  
306    x1     y2     3109, 2745, 2757          3010, 2948, 2962          10.1601  9.6340  
307    x1     y2     3119, 2763, 2761          3019, 2958, 2975          10.1596  9.6352  
308    x1     y2     3129, 2781, 2765          3028, 2968, 2988          10.1591  9.6364  
309    x1     y2     3139, 2799, 2769          3037, 2978, 3001          10.1586  9.6375  
310    x1     y2     3149, 2817, 2773          3046, 2988, 3014          10.1581  9.6387  
311    x1     y2     3159, 2835, 2777          3055, 2998, 3027          10.1576  9.6399  
312    x1     y2     3169, 2853, 2781          3064, 3008, 3040          10.1571  9.6410  
313    x1     y2     3179, 2871, 2785          3073, 3018, 3053          10.1565  9.6422  
314    x1     y2     3189, 2889, 2789          3082, 3028, 3066          10.1561  9.6433  
315    x1     y2     3199, 2907, 2793          3091, 3038, 3079          10.1556  9.6444  
316    x1     y2     3209, 2925, 2797          3100, 3048, 3092          10.1551  9.6456  
317    x1     y2     3219, 2943, 2801          3109, 3058, 3105          10.1546  9.6467  
318    x1     y2     3229, 2961, 2805          3118, 3068, 3118          10.1541  9.6478  
319    x1     y2     3239, 2979, 2809          3127, 3078, 3131          10.1536  9.6489  
320    x1     y2     3249, 2997, 2813          3136, 3088, 3144          10.1531  9.6500  
321    x1     y2     3259, 3015, 2817          3145, 3098, 3157          10.1526  9.6511  
322    x1     y2     3269, 3033, 2821          3154, 3108, 3170          10.1522  9.6522  
323    x1     y2     3279, 3051, 2825          3163, 3118, 3183          10.1517  9.6533  
324    x1     y2     3289, 3069, 2829          3172, 3128, 3196          10.1512  9.6543  
325    x1     y2     3299, 3087, 2833          3181, 3138, 3209          10.1508  9.6554  
326    x1     y2     3309, 3105, 2837          3190, 3148, 3222          10.1503  9.6564  
327    x1     y2     3319, 3123, 2841          3199, 3158, 3235          10.1498  9.6575  
328    x1     y2     3329, 3141, 2845          3208, 3168, 3248          10.1494  9.6585  
329    x1     y2     3339, 3159, 2849          3217, 3178, 3261          10.1489  9.6596  
330    x1     y2     3349, 3177, 2853          3226, 3188, 3274          10.1485  9.6606  
331    x1     y2     3359, 3195, 2857          3235, 3198, 3287          10.1480  9.6616  
332    x1     y2     3369, 3213, 2861          3244, 3208, 3300          10.1476  9.6627  
333    x1     y2     3379, 3231, 2865          3253, 3218, 3313          10.1471  9.6637  
334    x1     y2     3389, 3249, 2869          3262, 3228, 3326          10.1467  9.6647  
335    x1     y2     3399, 3267, 2873          3271, 3238, 3339          10.1463  9.6657  
336    x1     y2     3409, 3285, 2877          3280, 3248, 3352          10.1458  9.6667  
337    x1     y2     3419, 3303, 2881          3289, 3258, 3365          10.1454  9.6677  
